asset_id,name,ticker,category,notes
0,Algorand,ALGO,shitcoin,Native token (shitcoin regardless of participation)
386192725,goBTC,goBTC,hard_money,Wrapped Bitcoin on Algorand
386195940,goETH,goETH,shitcoin,Wrapped Ethereum (not hard money)
2751733,Meld Silver,SILVER$,hard_money,Physical silver-backed ASA
2722949,Meld Gold,GOLD$,hard_money,Physical gold-backed ASA
312769,Tether USDt,USDt,dollars,Stablecoin
31566704,USDC,USDC,dollars,Stablecoin
470842789,PLANET,PLANET,shitcoin,PlanetWatch token
287867876,Opulous,OPUL,shitcoin,Music rights token
163650,Smile Coin,SMILE,shitcoin,Gaming token
226701642,Yieldly,YLDY,shitcoin,DeFi token
2635992378,iGetAlgo,iGA,hard_money,Capped supply token (333 max)
